ticker,title,date,label
GOOG,Alphabet's Waymo to launch robotaxis with no human in driver's seat ,2017-11-07,1
GOOG,UPDATE 1-Alphabet's Waymo to launch robotaxis with no human in driver's seat ,2017-11-07,1
GOOG,Indonesia to summon messenger  search engine providers over content ,2017-11-07,1
GOOG,Indonesia to summon messenger  search engine providers over content ,2017-11-07,1
GOOG,UPDATE 3-AutoNation announces Waymo fleet repair deal  shares jump ,2017-11-02,1
GOOG,U.S. lawmakers release sample of Russian-bought Facebook ads ,2017-11-02,1
GOOG,Google ditched autopilot driving feature after test user napped behind wheel ,2017-10-31,1
GOOG,Google ditched autopilot driving feature after test user napped behind wheel ,2017-10-31,1
GOOG,Alphabet's mobile ad revenue surges; shares jump ,2017-10-27,0
GOOG,CORRECTED-UPDATE 4-Alphabet's mobile ad revenue surges; shares jump ,2017-10-27,0
GOOG,No end in sight for tech giant share gains ,2017-10-27,0
GOOG,BRIEF-Alphabet posts qtrly earnings per share of $9.57 ,2017-10-26,1
GOOG,Alphabet revenue rises 24 pct on mobile advertising growth ,2017-10-26,1
GOOG,Alphabet looks to snowy Michigan to test self-driving cars ,2017-10-26,1
GOOG,Alphabet looks to snowy Michigan to test self-driving cars ,2017-10-26,1
GOOG,Alphabet balloon project to provide limited internet in Puerto Rico ,2017-10-20,0
GOOG,UPDATE 1-Alphabet balloon project to provide limited internet in Puerto Rico ,2017-10-20,0
GOOG,Alphabet balloon project to provide limited internet in Puerto Rico ,2017-10-20,0
GOOG,Alphabet's CapitalG leads Lyft's $1 billion funding round ,2017-10-20,0
GOOG,PRESS DIGEST-New York Times business news - Oct 20 ,2017-10-20,0
GOOG,UPDATE 4-Alphabet's CapitalG leads Lyft's $1 bln funding round ,2017-10-19,1
GOOG,Lyft says Alphabet leads latest $1 billion round of funding ,2017-10-19,1
GOOG,Alphabet to develop high-tech waterfront site in Toronto ,2017-10-17,1
GOOG,UPDATE 3-Alphabet to develop high-tech waterfront site in Toronto ,2017-10-17,1
GOOG,Google launches advanced Gmail security features for high-risk users ,2017-10-17,1
GOOG,Fidelity tests virtual reality for customer service training ,2017-10-13,1
GOOG,Alphabet launches U.S. ad campaign to promote driverless car safety ,2017-10-09,0
GOOG,Alphabet launches U.S. ad campaign to promote driverless car safety ,2017-10-09,0
GOOG,Google to use balloons to provide Puerto Rico cell service ,2017-10-07,0
GOOG,UPDATE 1-Google to use balloons to provide Puerto Rico cell service ,2017-10-07,0
GOOG,Social media executives to testify Nov. 1 about Russia and U.S. election ,2017-10-05,1
GOOG,Social media executives to testify Nov. 1 about Russia and U.S. election ,2017-10-05,1
GOOG,Google launches new phones  speakers in hardware push ,2017-10-05,1
GOOG,UPDATE 3-Google launches new phones  speakers in hardware push ,2017-10-04,1
GOOG,UPDATE 1-Alphabet unit nears deal for Toronto waterfront development -WSJ ,2017-10-04,1
GOOG,Alphabet unit nears deal for Toronto waterfront development -WSJ ,2017-10-04,1
GOOG,BRIEF-Alphabet's Google launches slew of new products headlined by Google Pixel 2 ,2017-10-04,1
GOOG,UPDATE 1-U.S. judge says he will delay Uber-Waymo trade secrets trial ,2017-10-03,0
GOOG,U.S. lawmakers ask Facebook  Twitter for information on anti-fracking ads ,2017-09-27,1
GOOG,UPDATE 1-Zuckerberg nixes new Facebook share class after shareholder lawsuit ,2017-09-22,0
GOOG,Google to buy part of HTC's smartphone operations for $1.1 bln ,2017-09-21,0
GOOG,Waymo seeking $2.6 bln from Uber for one trade secret - lawyer ,2017-09-20,1
GOOG,Waymo seeking $2.6 billion from Uber for one trade secret: lawyer ,2017-09-20,1
GOOG,UPDATE 1-Waymo seeking $2.6 bln from Uber for one trade secret -lawyer ,2017-09-20,1
GOOG,Google close to buying smartphone maker HTC's assets: Bloomberg ,2017-09-20,1
GOOG,Google close to buying smartphone maker HTC's assets -Bbg ,2017-09-20,1
GOOG,Amazon working on 'smart glasses' as its first wearable device: FT ,2017-09-20,1
GOOG,Amazon working on 'smart glasses' as its first wearable device - FT ,2017-09-20,1
GOOG,Alphabet talks with Lyft about possible investment: source ,2017-09-15,0
GOOG,CORRECTED-GM's Cruise aims to open self-driving tests to public; timing unclear ,2017-09-15,0
GOOG,Google disables offensive ad keywords found by BuzzFeed ,2017-09-15,0
GOOG,Alphabet talks with Lyft about possible investment -source ,2017-09-15,0
GOOG,BRIEF-Alphabet Inc to consider Lyft investment of about $1 bln - Bloomberg ,2017-09-14,0
GOOG,Uber  Waymo clash over key evidence in self-driving trial ,2017-09-14,0
GOOG,Lawsuit accuses Google of discriminating against women in pay  promotions ,2017-09-14,0
GOOG,Uber  Waymo clash over key evidence in self-driving trial ,2017-09-14,0
GOOG,Uber  Waymo clash over key evidence in self-driving trial ,2017-09-14,0
GOOG,Uber's bid to move Waymo court fight to arbitration denied by appeals court ,2017-09-13,0
GOOG,Uber's bid to move Waymo court fight to arbitration denied by appeals court ,2017-09-13,0
GOOG,UPDATE 1-Uber's bid to move Waymo court fight to arbitration denied by appeals court ,2017-09-13,0
GOOG,Lyft to offer rides in self-driving cars in San Francisco area ,2017-09-07,0
GOOG,Alphabet's Google acts to comply with EU antitrust order ,2017-08-29,1
GOOG,UPDATE 2-Alphabet's Google acts to comply with EU antitrust order ,2017-08-29,1
GOOG,UPDATE 1-Four Uber drivers fined in Denmark  others charged ,2017-08-28,1
GOOG,BUZZ-BlackRock's largest mutual fund appears to warm to Google again ,2017-08-25,0
GOOG,U.S. hedge funds bearish on FAANG stocks in second-quarter: SEC filings ,2017-08-14,0
GOOG,BRIEF-Tiger Global Management cuts stake in Amazon.com  Alphabet ,2017-08-14,0
GOOG,BRIEF-Third Point ups share stake in Facebook  dissolves in Snap Inc ,2017-08-11,1
GOOG,Google cancels staff meeting over fears of online harassment ,2017-08-11,1
GOOG,UPDATE 1-Google cancels staff meeting over fears of online harassment ,2017-08-11,1
GOOG,Google cancels staff meeting over fears of online harassment ,2017-08-11,1
GOOG,UPDATE 2-Uber's Graves stepping down from full-time job  stays on board ,2017-08-10,1
GOOG,Google fires employee behind anti-diversity memo ,2017-08-08,0
GOOG,Omega's Cooperman tells CNBC his biggest position is Alphabet ,2017-08-07,0
GOOG,Omega's Cooperman tells CNBC his biggest position is Alphabet ,2017-08-07,0
GOOG,Google hopes to train 10 million people in Africa in online skills: CEO ,2017-07-27,1
GOOG,Facebook shares hit record high as mobile ad sales soar ,2017-07-27,1
GOOG,UPDATE 4-Facebook shares hit record high as mobile ad sales soar ,2017-07-27,1
